acceptance | L2 | social_emotional_learning_competencies
accidental | L1 | accidents_and_mistakes
accuracy | L1 | degrees_of_truth
act | SKIP
addition | L1 | mathematical_concepts
additional | SKIP
adjective | L1 | communication_acts_and_language
adulthood | L1 | growth_and_life_stages_human
advanced | SKIP
advice | L1 | wants_needs_and_preferences
aid | SKIP
aim | L1 | intentions_and_plans_in_action
air | L1 | plants_and_nature
algebra | L3 | mathematical_concepts
alive | L1 | states_of_being_and_condition
allowed | L1 | boundaries_and_consent
amazement | L1 | emotions
analogy | L2 | humor_and_figurative_language
angle | L1 | mathematical_concepts
ankle | L1 | body_parts
announcement | L1 | communication_acts_and_language
answer | L1 | communication_acts_and_language
apology | L1 | manners_politeness_and_social_etiquette
apostrophe | L1 | communication_acts_and_language
appearance | L1 | personal_identity_and_self_description
apply | SKIP
approval | L1 | agreement_and_disagreement
architect | L1 | professions
area | L1 | mathematical_concepts
arrange | L1 | daily_routines_and_self_care
article | SKIP
artist | L1 | professions
asleep | L1 | states_of_being_and_condition
assessment | L1 | school_life_and_learning
assignment | L1 | school_life_and_learning
assistance | L1 | manners_politeness_and_social_etiquette
assistant | L1 | professions
atom | L2 | STEM
attempt | L1 | intentions_and_plans_in_action
attendance | L1 | school_life_and_learning
attendant | L1 | professions
attention | L2 | learning_memory_and_metacognition
attribute | SKIP
auditorium | L1 | places_and_landforms
autumn | L1 | seasonal_activities
awake | L1 | states_of_being_and_condition
bacterium | L1 | STEM
band | SKIP
barrier | L1 | construction_and_material_transformations
beak | L1 | animals_birds
beauty | L2 | art_and_creative_expression
bite | L1 | verbs
bleed | L1 | body_states_and_internal_cues
bored | L1 | emotions
bossy | L1 | personal_identity_and_self_description
bottom | L1 | location_and_direction_in_action
brand | L1 | money_trade_and_shopping
brave | L1 | emotions
breast | L1 | body_parts
brim | L1 | containers_and_capacity
bristle | L1 | animals_mammals
broken | L1 | states_of_being_and_condition
bud | L1 | plants_and_nature
bunch | L1 | categories_and_grouping
cab | L1 | vehicles_transport
cafeteria | L1 | community_places_and_services
calm | L1 | emotions
candidate | L1 | people_roles
cane | L1 | tools_and_kitchenware
cargo | L1 | vehicles_transport
carton | L1 | containers_and_capacity
castle | L1 | places_and_landforms
centimeter | L1 | measurement_and_comparison
century | L1 | time
chance | L1 | uncertainty_and_guessing
characteristic | L1 | categories_and_grouping
chaser | L1 | play_games_and_sports
chatter | L1 | communication_acts_and_language
checkout | L1 | money_trade_and_shopping
cheer | L1 | emotions
chew | L1 | verbs
childhood | L1 | growth_and_life_stages_human
choice | L1 | wants_needs_and_preferences
chunk | L1 | categories_and_grouping
circumstance | L1 | uncertainty_and_guessing
citrus | L1 | foods_fruits
clash | L1 | conflict_resolution_and_relationship_repair
class | L1 | categories_and_grouping
classification | L1 | categories_and_grouping
cleanup | L1 | chores_and_home_responsibilities
closer | L1 | location_and_direction_in_action
closet | L1 | home_rooms
clove | L1 | cooking_and_food_preparation
clover | L1 | plants_and_nature
code | L1 | technology_and_digital_media
coffee | L1 | foods_and_drinks
cole | SKIP
colour | L1 | colors
column | L1 | mathematical_concepts
combination | L1 | categories_and_grouping
comic | L1 | hobbies_and_interests
command | L1 | communication_acts_and_language
compact | L1 | measurement_and_comparison
competency | L1 | learning_memory_and_metacognition
complex | L1 | levels_of_intensity_and_gradation
component | L1 | topology_parts
compromise | L1 | conflict_resolution_and_relationship_repair
concept | L1 | abstract_operators
concrete | L1 | material_composition
conductor | L1 | simple_physics_energy_and_power
confused | L1 | emotions
conjunction | L1 | communication_acts_and_language
connect | L1 | topology_parts
conservation | L1 | environmental_care_and_stewardship
consolidation | L1 | learning_memory_and_metacognition
content | L1 | containers_and_capacity
contraction | L1 | communication_acts_and_language
contrast | L1 | measurement_and_comparison
cooky | L1 | foods_and_drinks
cooler | L1 | containers_and_capacity
coordination | L1 | movement_and_physical_action
