training_data/phases/phase_6/phase_6_292.md | incorrect teaching frame | verb "surround" taught as noun ("Surround is a ring around a center")
training_data/phases/phase_6/phase_6_294.md | incorrect teaching frame | verb "survive" taught as noun ("survive is the power to last through danger")
training_data/phases/phase_6/phase_6_294.md | malformed ontology | "survive lives in frozen tundra", "survive hides in deep forests" — wrong ontological claims about an action word
training_data/phases/phase_6/phase_6_294.md | unnatural pedagogical framing | truncated format with only 3 body lines per block instead of 5-6
training_data/phases/phase_6/phase_6_298.md | unnatural pedagogical framing | truncated format with only 3 body lines per block instead of 5-6
training_data/phases/phase_6/phase_6_302.md | incorrect teaching frame | verb "take" taught as noun ("take is to move a thing by hand") despite file noting "take is a verb and a noun"
training_data/phases/phase_6/phase_6_304.md | incorrect teaching frame | verb "teach" taught as noun ("Teach is an action of sharing knowledge")
training_data/phases/phase_6/phase_6_305.md | incorrect teaching frame | verb "tell" taught as noun ("tell is a spoken or written message")
training_data/phases/phase_6/phase_6_305.md | unnatural pedagogical framing | truncated format with only 3 body lines per block instead of 5-6
training_data/phases/phase_6/phase_6_308.md | unnatural pedagogical framing | truncated format with only 5 body lines in first block (expects 6 + summary)
training_data/phases/phase_6/phase_6_309.md | unnatural pedagogical framing | truncated format with only 5 body lines in first block (expects 6 + summary)
training_data/phases/phase_6/phase_6_313.md | incorrect teaching frame | verb "thank" taught as noun ("thank is an expression of gratitude")
training_data/phases/phase_6/phase_6_315.md | category mistake | adverb "then" taught as noun ("then is a word for a later time")
training_data/phases/phase_6/phase_6_317.md | incorrect teaching frame | verb "think" taught as noun ("think is to make an idea in a mind")
training_data/phases/phase_6/phase_6_40.md | incorrect teaching frame | verb "edit" taught as noun ("edit is here. edit means change words or pictures")
training_data/phases/phase_6/phase_6_42.md | duplicate/redundant statement | "energy can be in food" and "energy can help a body run and jump" repeated verbatim in multiple blocks
training_data/phases/phase_6/phase_6_463.md | duplicate topic | "original" taught here in addition to phase_6_429.md in same batch, creating redundant word across files
training_data/phases/phase_6/phase_6_34.md | misleading pedagogical framing | "Reception" taught as four unrelated senses (welcoming, signal, desk, party) in one file, conflating homonyms
training_data/phases/phase_6/phase_6_453.md | unsupported assumption | "Imagining is building worlds that do not exist outside" wrongly implies imagination cannot represent real things
training_data/phases/phase_6/phase_6_435.md | semantically nonsensical example | "Existing happens while a fact remains true" — a fact does not "happen"
BATCH DONE: phase_6 batch 2 (files 292-582), 20 issues found
