source_file,entry_prompt,entry_concept,current_max_level,status,in_level2_article,level2_article_file,notes
STEM_entries.md,what is hot?,what is hot?,1,level1_only,no,,
STEM_entries.md,what is cold?,what is cold?,1,level1_only,no,,
STEM_entries.md,what is warm?,what is warm?,1,level1_only,no,,
STEM_entries.md,what is heavy?,what is heavy?,1,level1_only,no,,
STEM_entries.md,what is light?,what is light?,1,level1_only,no,,
STEM_entries.md,what is hard?,what is hard?,1,level1_only,no,,
STEM_entries.md,what is soft?,what is soft?,1,level1_only,no,,
STEM_entries.md,what is a solid?,solid,1,level1_only,no,,
STEM_entries.md,what is a liquid?,liquid,1,level1_only,no,,
STEM_entries.md,what is a gas?,gas,1,level1_only,no,,
STEM_entries.md,what is steam?,what is steam?,1,level1_only,no,,
STEM_entries.md,what is ice?,what is ice?,1,level1_only,no,,
STEM_entries.md,what is wet?,what is wet?,1,level1_only,no,,
STEM_entries.md,what is dry?,what is dry?,1,level1_only,no,,
STEM_entries.md,what is rough?,what is rough?,1,level1_only,no,,
STEM_entries.md,what is smooth?,what is smooth?,1,level1_only,no,,
STEM_entries.md,what is a push?,push,1,level1_only,no,,
STEM_entries.md,what is a pull?,pull,1,level1_only,no,,
STEM_entries.md,what does it mean to float?,what does it mean to float?,1,level1_only,no,,
STEM_entries.md,what does it mean to sink?,what does it mean to sink?,1,level1_only,no,,
STEM_entries.md,what does it mean to melt?,what does it mean to melt?,1,level1_only,no,,
STEM_entries.md,what does it mean to freeze?,what does it mean to freeze?,1,level1_only,no,,
STEM_entries.md,what does it mean to grow?,what does it mean to grow?,1,level1_only,no,,
STEM_entries.md,what does it mean to move?,what does it mean to move?,1,level1_only,no,,
STEM_entries.md,what does it mean to fall?,what does it mean to fall?,1,level1_only,no,,
STEM_entries.md,what does it mean to rise?,what does it mean to rise?,1,level1_only,no,,
STEM_entries.md,what does it mean to break?,what does it mean to break?,1,level1_only,no,,
STEM_entries.md,what does it mean to fix?,what does it mean to fix?,1,level1_only,no,,
STEM_entries.md,what is fast?,what is fast?,1,level1_only,no,,
STEM_entries.md,what is slow?,what is slow?,1,level1_only,no,,
STEM_entries.md,what does it mean to boil?,what does it mean to boil?,1,level1_only,no,,
STEM_entries.md,what does it mean to burn?,what does it mean to burn?,1,level1_only,no,,
STEM_entries.md,what does it mean to pour?,what does it mean to pour?,1,level1_only,no,,
STEM_entries.md,what does it mean to mix?,what does it mean to mix?,1,level1_only,no,,
STEM_entries.md,what does it mean to bend?,what does it mean to bend?,1,level1_only,no,,
STEM_entries.md,what does it mean to be full?,what does it mean to be full?,1,level1_only,no,,
STEM_entries.md,what does it mean to be empty?,what does it mean to be empty?,1,level1_only,no,,
STEM_entries.md,what does it mean to be alive?,what does it mean to be alive?,1,level1_only,no,,
STEM_entries.md,what does it mean to breathe?,what does it mean to breathe?,1,level1_only,no,,
STEM_entries.md,what does it mean to eat?,what does it mean to eat?,1,level1_only,no,,
STEM_entries.md,what does it mean to drink?,what does it mean to drink?,1,level1_only,no,,
STEM_entries.md,what does it mean to sleep?,what does it mean to sleep?,1,level1_only,no,,
STEM_entries.md,what does it mean to be awake?,what does it mean to be awake?,1,level1_only,no,,
STEM_entries.md,what does it mean to die?,what does it mean to die?,1,level1_only,no,,
STEM_entries.md,what does it mean to live?,what does it mean to live?,1,level1_only,no,,
STEM_entries.md,what does it mean to be born?,what does it mean to be born?,1,level1_only,no,,
STEM_entries.md,what does it mean to see?,what does it mean to see?,1,level1_only,no,,
STEM_entries.md,what does it mean to hear?,what does it mean to hear?,1,level1_only,no,,
STEM_entries.md,what does it mean to smell?,what does it mean to smell?,1,level1_only,no,,
STEM_entries.md,what does it mean to taste?,what does it mean to taste?,1,level1_only,no,,
STEM_entries.md,what does it mean to touch?,what does it mean to touch?,1,level1_only,no,,
abstract_operators_entries.md,what is a category?,category,1,level1_only,no,,
abstract_operators_entries.md,what is a feeling?,feeling,1,level1_only,no,,
abstract_operators_entries.md,what is a material?,material,1,level1_only,no,,
abstract_operators_entries.md,what is a size?,size,1,level1_only,no,,
accidents_and_mistakes_entries.md,what is an accident?,accident,1,level1_only,no,,
accidents_and_mistakes_entries.md,what is a mistake?,mistake,1,level1_only,no,,
