# ADJ REWRITE PROGRESS — track each word completed
# Format: word | status
strong | done
sturdy | done
sudden | done
thorny | done
tiny | done
weak | done
wide | done
pure | done
physical | done
hazy | done
vivid | done
fuzzy | done
visible | done
greenish | done
blue-green | done
enormous | done
bland | done
fresh | done
hard | done
sideways | done
available | done
indigenous | done
parental | done
electrical | done
conscious | done
selective | done
unable | done
aggressive | done
assertive | done
unfriendly | done
proud | done
yummy | done
rare | done
inseparable | done
ethical | done
parental | done
improvable | done
short-term | done
kindly | done
fictional | done
internal | done
meaningless | done
optional | done
previous | done
finite | done
soft | done
purposeless | done
unresolved | done
apparent | done
strange | done
perceptual | done
noticeable | done
identical | done
invisible | done
undetectable | done
uncomfortable | done
continuous | done
mathematical | done
mental | done
replaceable | done
meaningful | done
reliable | done
memorable | done
different | done
able | done
untested | done
knowledgeable | done
pointless | done
reasonable | done
useless | done
factual | done
accurate | done
confident | done
careless | done
random | done
unexpected | done
aware | done
unclear | done
consistent | done
untrustworthy | done
remarkable | done
scientific | done
early | done
capable | done
difficult | done
incomplete | done
seamless | done
emotional | done
suspicious | done
unnamed | done
usable | done
actual | done
unstable | done
ongoing | done
obvious | done
unexpected | done
eternal | done
genuine | done
serious | done
unreadable | done
responsible | done
painful | done
undifferentiated | done
unusual | done
instantaneous | done
similar | done
angry | done
successful | done
spatial | done
previous | done
never-ending | done
villainous | done
coherent | done
reliable | done
sufficient | done
irreducible | done
accountable | done
terrible | done
immediate | done
afraid | done
valid | done
obvious | done
unverified | done
irrelevant | done
practical | done
expansive | done
explicit | done
alike | done
intelligible | done
translatable | done
lesser | done
artificial | done
persuasive | done
logical | done
trustworthy | done
structural | done
experiential | done
widespread | done
unfamiliar | done
strong | done
unchangeable | done
vulnerable | done
inconvenient | done
worthless | done
active | done
broad | done
careful | done
complete | done
correct | done
current | done
dangerous | done
deep | done
deliberate | done
direct | done
entire | done
eventual | done
exact | done
gradual | done
honest | done
main | done
natural | done
necessary | done
partial | done
precise | done
proper | done
quiet | done
real | done
repeated | done
rough | done
separate | done
simple | done
smooth | done
specific | done
sure | done
tight | done
unconscious | done
usual | done
