acceptance | L2 | social_emotional_learning_competencies
accidental | L1 | accidents_and_mistakes
accuracy | L1 | degrees_of_truth
addition | L1 | mathematical_concepts
adjective | L1 | communication_acts_and_language
adulthood | L1 | growth_and_life_stages_human
advice | L1 | wants_needs_and_preferences
aid | L1 | health_and_wellness
aim | L1 | intentions_and_plans_in_action
air | L1 | plants_and_nature
algebra | L2 | mathematical_concepts
alive | L1 | states_of_being_and_condition
allowed | L1 | boundaries_and_consent
amazement | L1 | emotions
analogy | L2 | humor_and_figurative_language
angle | L1 | mathematical_concepts
ankle | L1 | body_parts
announcement | L1 | communication_acts_and_language
answer | L1 | communication_acts_and_language
apology | L1 | manners_politeness_and_social_etiquette
apostrophe | L1 | communication_acts_and_language
appearance | L1 | personal_identity_and_self_description
approval | L1 | agreement_and_disagreement
architect | L1 | professions
area | L1 | mathematical_concepts
arrange | L1 | daily_routines_and_self_care
article | L1 | communication_acts_and_language
artist | L1 | professions
asleep | L1 | states_of_being_and_condition
assessment | L1 | school_life_and_learning
assignment | L1 | school_life_and_learning
assistance | L1 | manners_politeness_and_social_etiquette
assistant | L1 | professions
atom | L2 | STEM
attempt | L1 | intentions_and_plans_in_action
attendance | L1 | school_life_and_learning
attendant | L1 | professions
attention | L2 | learning_memory_and_metacognition
auditorium | L1 | places_and_landforms
autumn | L1 | seasonal_activities
awake | L1 | states_of_being_and_condition
bacterium | L1 | STEM
barrier | L1 | construction_and_material_transformations
beak | L1 | animals_birds
beauty | L2 | art_and_creative_expression
bite | L1 | movement_and_physical_action
bleed | L1 | body_states_and_internal_cues
bored | L1 | emotions
bossy | L1 | personal_identity_and_self_description
bottom | L1 | location_and_direction_in_action
brand | L1 | money_trade_and_shopping
brave | L1 | emotions
breast | L1 | body_parts
brim | L1 | containers_and_capacity
bristle | L1 | animals_mammals
broken | L1 | states_of_being_and_condition
bud | L1 | plants_and_nature
bunch | L1 | categories_and_grouping
cab | L1 | vehicles_transport
cafeteria | L1 | community_places_and_services
calm | L1 | emotions
candidate | L1 | people_roles
cane | L1 | tools_and_kitchenware
cargo | L1 | vehicles_transport
carton | L1 | containers_and_capacity
castle | L1 | places_and_landforms
centimeter | L1 | measurement_and_comparison
century | L1 | time
chance | L1 | uncertainty_and_guessing
characteristic | L1 | categories_and_grouping
chaser | L1 | play_games_and_sports
chatter | L1 | communication_acts_and_language
checkout | L1 | money_trade_and_shopping
cheer | L1 | emotions
chew | L1 | movement_and_physical_action
childhood | L1 | growth_and_life_stages_human
choice | L1 | wants_needs_and_preferences
chunk | L1 | categories_and_grouping
circumstance | L1 | uncertainty_and_guessing
citrus | L1 | foods_fruits
clash | L1 | conflict_resolution_and_relationship_repair
class | L1 | categories_and_grouping
classification | L1 | categories_and_grouping
cleanup | L1 | chores_and_home_responsibilities
closet | L1 | home_rooms
clove | L1 | cooking_and_food_preparation
clover | L1 | plants_and_nature
code | L1 | technology_and_digital_media
coffee | L1 | foods_and_drinks
colour | L1 | colors
column | L1 | mathematical_concepts
combination | L1 | categories_and_grouping
comic | L1 | hobbies_and_interests
command | L1 | communication_acts_and_language
compact | L1 | measurement_and_comparison
competency | L1 | learning_memory_and_metacognition
complex | L1 | levels_of_intensity_and_gradation
component | L1 | topology_parts
compromise | L2 | conflict_resolution_and_relationship_repair
concept | L1 | abstract_operators
concrete | L1 | material_composition
conductor | L2 | simple_physics_energy_and_power
confused | L1 | emotions
conjunction | L1 | communication_acts_and_language
connect | L1 | topology_parts
conservation | L1 | environmental_care_and_stewardship
content | L1 | containers_and_capacity
contraction | L1 | communication_acts_and_language
contrast | L1 | measurement_and_comparison
cooler | L1 | containers_and_capacity
coordination | L1 | movement_and_physical_action
core | L1 | abstract_operators
counselor | L1 | people_roles
countryside | L1 | places_and_landforms
courage | L2 | emotions
course | L1 | directions_and_navigation
creation | L1 | art_and_creative_expression
creator | L1 | people_roles
creature | L1 | animals_mammals
credit | L2 | money_trade_and_shopping
creep | L1 | movement_and_physical_action
crime | L1 | safety_rules_and_emergency_awareness
crouch | L1 | movement_and_physical_action
cruise | L1 | vehicles_transport
crust | L1 | food_groups_and_nutrition
crystal | L1 | material_composition
cubby | L1 | home_objects
cube | L1 | mathematical_concepts
cycle | L1 | natural_life_cycles_and_processes
cylinder | L1 | mathematical_concepts
daily | L1 | daily_routines_and_self_care
dash | L1 | movement_and_physical_action
date | L1 | time
datum | L2 | data_charts_and_graphs
dawn | L1 | time
death | L2 | growth_and_life_stages_human
debt | L2 | money_trade_and_shopping
decoration | L1 | art_and_creative_expression
defender | L1 | play_games_and_sports
delicious | L1 | foods_and_drinks
delivery | L1 | community_places_and_services
demonstrate | L2 | learning_memory_and_metacognition
dense | L1 | measurement_and_comparison
department | L1 | community_places_and_services
dependence | L2 | wants_needs_and_preferences
design | L1 | art_and_creative_expression
detective | L1 | people_roles
determination | L2 | social_emotional_learning_competencies
development | L2 | growth_and_life_stages_human
device | L1 | technology_and_digital_media
diagram | L1 | data_charts_and_graphs
dialogue | L2 | communication_acts_and_language
diarrhea | L1 | health_and_wellness
difficulty | L1 | states_of_being_and_condition
dimension | L2 | mathematical_concepts
disagree | L1 | agreement_and_disagreement
disappear | L1 | uncertainty_and_guessing
disorder | L1 | health_and_wellness
display | L1 | technology_and_digital_media
distraction | L1 | learning_memory_and_metacognition
distribute | L1 | ownership_and_sharing
district | L1 | places_and_landforms
division | L1 | mathematical_concepts
dizzy | L1 | body_states_and_internal_cues
domain | L2 | categories_and_grouping
doorbell | L1 | home_objects
doorway | L1 | home_objects
dough | L1 | cooking_and_food_preparation
downhill | L1 | directions_and_navigation
downstair | L1 | home_rooms
dozen | L1 | numbers_beyond_10_and_large_number_talk
draft | L2 | storytelling_and_narrative_structure
drag | L1 | movement_and_physical_action
duty | L2 | civic_responsibility_and_community_rules
ecologist | L1 | people_roles
ecosystem | L2 | environmental_care_and_stewardship
edition | L1 | school_life_and_learning
effort | L1 | learning_memory_and_metacognition
electron | L2 | simple_physics_energy_and_power
element | L2 | categories_and_grouping
enjoy | L1 | emotions
enjoyment | L1 | emotions
entry | L1 | school_life_and_learning
equipment | L1 | tools_and_kitchenware
escalation | L2 | conflict_resolution_and_relationship_repair
essence | L2 | abstract_operators
estimate | L1 | measurement_and_comparison
excited | L1 | emotions
exclusion | L2 | inclusion_bullying_and_kindness
exhaustion | L1 | body_states_and_internal_cues
expand | L1 | measurement_and_comparison
expect | L1 | uncertainty_and_guessing
expectation | L1 | uncertainty_and_guessing
exposed | L1 | body_states_and_internal_cues
extension | L1 | measurement_and_comparison
fable | L1 | story_roles_and_plot_elements
fail | L1 | learning_memory_and_metacognition
false | L1 | degrees_of_truth
fastener | L1 | tools_and_kitchenware
favorite | L1 | wants_needs_and_preferences
fewer | L1 | mathematical_concepts
fiber | L1 | food_groups_and_nutrition
figure | L1 | mathematical_concepts
fireplace | L1 | home_objects
flake | L1 | material_composition
flock | L1 | animals_birds
focus | L1 | learning_memory_and_metacognition
format | L1 | technology_and_digital_media
fort | L1 | places_and_landforms
frequency | L2 | measurement_and_comparison
fridge | L1 | home_objects
friendly | L1 | friends_and_peer_interactions
frustrated | L1 | emotions
fulcrum | L2 | simple_physics_energy_and_power
fungus | L1 | natural_life_cycles_and_processes
garage | L1 | home_rooms
gentle | L1 | manners_politeness_and_social_etiquette
giver | L1 | people_roles
glad | L1 | emotions
glimpse | L1 | sensory_experiences
goalie | L1 | play_games_and_sports
grace | L2 | social_emotional_learning_competencies
gradation | L2 | levels_of_intensity_and_gradation
gram | L1 | measurement_and_comparison
grammar | L3 | communication_acts_and_language
grandpa | L1 | people_roles
grateful | L1 | emotions
grief | L2 | emotions
grip | L1 | movement_and_physical_action
groove | L1 | musical_instruments
grown-up | L1 | people_roles
growth | L1 | growth_and_life_stages_human
grudge | L1 | emotions
guidance | L1 | social_emotional_learning_competencies
handful | L1 | measurement_and_comparison
handlebar | L1 | vehicles_transport
hue | L1 | colors
hull | L1 | vehicles_transport
hurtful | L1 | emotions
husk | L1 | plants_and_nature
idea | L1 | learning_memory_and_metacognition
image | L1 | art_and_creative_expression
impact | L1 | simple_physics_energy_and_power
implication | L2 | logic
improbability | L1 | uncertainty_and_guessing
improvement | L1 | learning_memory_and_metacognition
inclusion | L2 | inclusion_bullying_and_kindness
independence | L1 | personal_identity_and_self_description
infinity | L2 | mathematical_concepts
influence | L1 | opinions_persuasion_and_simple_debate
information | L1 | learning_memory_and_metacognition
inheritance | L1 | ownership_and_sharing
injury | L1 | health_and_wellness
input | L1 | technology_and_digital_media
insight | L1 | learning_memory_and_metacognition
inspection | L1 | classroom_objects_and_school_tools
inspiration | L1 | art_and_creative_expression
instance | L1 | categories_and_grouping
instruction | L1 | classroom_objects_and_school_tools
intensity | L1 | levels_of_intensity_and_gradation
intent | L1 | intentions_and_plans_in_action
internet | L1 | technology_and_digital_media
interruption | L1 | communication_acts_and_language
introduce | L1 | greetings_and_social_salutations
introduction | L1 | greetings_and_social_salutations
inverse | L2 | mathematical_concepts
invitation | L1 | greetings_and_social_salutations
iris | L1 | body_parts
issue | L1 | conflict_resolution_and_relationship_repair
item | L1 | home_objects
ivy | L1 | plants_and_nature
jammed | L1 | machines_and_simple_mechanisms
keep | L1 | ownership_and_sharing
kilogram | L1 | measurement_and_comparison
knowledge | L2 | learning_memory_and_metacognition
landscape | L1 | places_and_landforms
laughter | L1 | emotions
lay | L1 | movement_and_physical_action
left | L1 | directions_and_navigation
lemonade | L1 | foods_and_drinks
let | L1 | boundaries_and_consent
like | L1 | wants_needs_and_preferences
likely | L1 | uncertainty_and_guessing
liter | L1 | measurement_and_comparison
location | L1 | location_and_direction_in_action
lonely | L1 | emotions
loosen | L1 | movement_and_physical_action
loser | L1 | social_emotional_learning_competencies
machinery | L1 | machines_and_simple_mechanisms
magical | L1 | imagination_and_pretend_play
maintenance | L1 | chores_and_home_responsibilities
management | L1 | group_roles_and_participation
math | L1 | mathematical_concepts
mechanism | L2 | machines_and_simple_mechanisms
media | L1 | technology_and_digital_media
medium | L1 | art_and_creative_expression
membership | L1 | group_roles_and_participation
missed | L1 | lost_and_found_misplacing_objects
misunderstand | L1 | communication_acts_and_language
mix-up | L1 | communication_acts_and_language
molecule | L2 | STEM
motion | L1 | movement_and_physical_action
motorcycle | L1 | vehicles_transport
multiplication | L2 | mathematical_concepts
multiplicity | L1 | categories_and_grouping
musician | L1 | people_roles
mystery | L1 | uncertainty_and_guessing
narrative | L1 | storytelling_and_narrative_structure
narrow | L1 | measurement_and_comparison
nation | L1 | community_places_and_services
neat | L1 | chores_and_home_responsibilities
news | L1 | communication_acts_and_language
nibble | L1 | foods_and_drinks
nighttime | L1 | time
nipple | L1 | body_parts
object | L1 | home_objects
occasion | L1 | holidays_and_celebrations
omniscient | L2 | perspective_taking_and_theory_of_mind
opal | L1 | collections_and_collecting
opponent | L1 | play_games_and_sports
opportunity | L1 | future_planning_and_goals
opposite | L1 | degrees_of_truth
orangutan | L1 | animals_mammals
organization | L1 | group_roles_and_participation
origin | L1 | growth_and_life_stages_human
outdoor | L1 | seasonal_activities
oval | L1 | art_and_creative_expression
overflow | L1 | measurement_and_comparison
overwhelmed | L2 | emotions
paradox | L2 | logic
participation | L1 | group_roles_and_participation
passage | L1 | storytelling_and_narrative_structure
pee | L1 | body_states_and_internal_cues
percent | L1 | mathematical_concepts
performance | L1 | art_and_creative_expression
performer | L1 | people_roles
perfume | L1 | smells_and_tastes
period | L1 | time
permission | L1 | boundaries_and_consent
phrase | L1 | communication_acts_and_language
pivot | L1 | movement_and_physical_action
platter | L1 | containers_and_capacity
playroom | L1 | home_rooms
please | L1 | manners_politeness_and_social_etiquette
plenty | L1 | measurement_and_comparison
pod | L1 | plants_and_nature
pollen | L1 | plants_and_nature
poop | L1 | body_states_and_internal_cues
population | L1 | civic_responsibility_and_community_rules
portrait | L1 | art_and_creative_expression
posture | L1 | body_parts
pounce | L1 | movement_and_physical_action
preposition | L1 | communication_acts_and_language
pressure | L1 | simple_physics_energy_and_power
prevention | L1 | safety_rules_and_emergency_awareness
privacy | L1 | online_safety_and_privacy
probability | L2 | mathematical_concepts
procedure | L1 | daily_routines_and_self_care
product | L1 | money_trade_and_shopping
production | L1 | money_trade_and_shopping
program | L1 | technology_and_digital_media
prose | L1 | storytelling_and_narrative_structure
protection | L1 | safety_rules_and_emergency_awareness
publication | L1 | communication_acts_and_language
punctuation | L1 | communication_acts_and_language
rotation | L1 | mathematical_concepts
runway | L1 | vehicles_transport
sad | L1 | emotions
satisfaction | L1 | emotions
scenario | L1 | story_roles_and_plot_elements
scenery | L1 | places_and_landforms
schoolwork | L1 | school_life_and_learning
scissors | L1 | tools_and_kitchenware
scorpion | L1 | animals_insects_arthropods
scrap | L1 | collections_and_collecting
self-control | L1 | social_emotional_learning_competencies
self-knowledge | L2 | personal_identity_and_self_description
sensation | L1 | sensory_experiences
sentence | L1 | communication_acts_and_language
seventh | L1 | numbers_beyond_10_and_large_number_talk
shoulderblade | L1 | body_parts
sideway | L1 | directions_and_navigation
similarity | L1 | categories_and_grouping
single | L1 | mathematical_concepts
singular | L1 | communication_acts_and_language
site | L1 | community_places_and_services
sketch | L1 | art_and_creative_expression
sorry | L1 | manners_politeness_and_social_etiquette
soy | L1 | foods_and_drinks
specialized | L1 | categories_and_grouping
specify | L1 | communication_acts_and_language
sphere | L1 | mathematical_concepts
spoonful | L1 | measurement_and_comparison
sportsmanship | L1 | play_games_and_sports
spouse | L1 | people_roles
stanza | L1 | storytelling_and_narrative_structure
steady | L1 | states_of_being_and_condition
storage | L1 | containers_and_capacity
streamer | L1 | hobbies_and_interests
subtraction | L1 | mathematical_concepts
suffix | L1 | communication_acts_and_language
suggestion | L1 | opinions_persuasion_and_simple_debate
summary | L1 | communication_acts_and_language
supposed | L1 | uncertainty_and_guessing
surgery | L2 | health_and_wellness
swipe | L1 | movement_and_physical_action
swoop | L1 | movement_and_physical_action
takeaway | L1 | foods_and_drinks
target | L1 | future_planning_and_goals
teamwork | L1 | play_games_and_sports
tension | L1 | emotions
theater | L1 | hobbies_and_interests
thermostat | L1 | home_objects
thrive | L1 | growth_and_life_stages_human
thud | L1 | sensory_experiences
toilet | L1 | home_rooms
total | L1 | mathematical_concepts
tower | L1 | places_and_landforms
town | L1 | community_places_and_services
traffic | L1 | vehicles_transport
trail | L1 | places_and_landforms
treehouse | L1 | play_games_and_sports
trouble | L1 | social_emotional_learning_competencies
trough | L1 | containers_and_capacity
unbuckle | L1 | verbs
uncurl | L1 | verbs
underneath | L1 | location_and_direction_in_action
unique | L1 | categories_and_grouping
unity | L1 | group_roles_and_participation
universe | L1 | space
unknown | L1 | uncertainty_and_guessing
unload | L1 | verbs
unlock | L1 | verbs
untie | L1 | verbs
utensil | L1 | tools_and_kitchenware
vacuum | L1 | home_objects
validity | L2 | evidence_and_justification
verbal | L1 | communication_acts_and_language
vibration | L1 | simple_physics_energy_and_power
virus | L1 | health_and_wellness
vocabulary | L1 | communication_acts_and_language
warmth | L1 | sensory_experiences
website | L1 | technology_and_digital_media
well-being | L1 | health_and_wellness
workout | L1 | health_and_wellness
workshop | L1 | school_life_and_learning
yogurt | L1 | foods_and_drinks
