DONE phase_1/phase_1_1250.md  [autumn]
DONE phase_1/phase_1_1251.md  [back]
DONE phase_1/phase_1_1252.md  [birch]
DONE phase_1/phase_1_1253.md  [breast]
DONE phase_1/phase_1_1254.md  [bristle]
DONE phase_1/phase_1_1255.md  [bud]
DONE phase_1/phase_1_1256.md  [clove]
DONE phase_1/phase_1_1257.md  [clover]
DONE phase_1/phase_1_1258.md  [cole]
DONE phase_1/phase_1_1259.md  [core]
DONE phase_1/phase_1_1260.md  [crystal]
DONE phase_1/phase_1_1261.md  [flake]
DONE phase_1/phase_1_1268.md  [landscape]
DONE phase_1/phase_1_1269.md  [maple]
DONE phase_1/phase_1_1270.md  [melon]
DONE phase_1/phase_1_1271.md  [moonlight]
DONE phase_1/phase_1_1274.md  [oval]
DONE phase_1/phase_1_1275.md  [pod]
DONE phase_1/phase_1_1276.md  [pollen]
DONE phase_1/phase_1_1277.md  [poop]
DONE phase_1/phase_1_1278.md  [thud]
DONE phase_1/phase_1_1279.md  [xylophone]
DONE phase_1/phase_1_1280.md  [jade]
DONE phase_1/phase_1_1281.md  [scenery]
DONE phase_1/phase_1_1282.md  [shape]
DONE phase_1/phase_1_1283.md  [fulcrum]
DONE phase_1/phase_1_1284.md  [fungus]
DONE phase_1/phase_1_1285.md  [groove]
DONE phase_1/phase_1_1286.md  [iris]
DONE phase_1/phase_1_1287.md  [ivy]
DONE phase_1/phase_1_1288.md  [kale]
DONE phase_1/phase_1_1289.md  [nipple]
DONE phase_1/phase_1_1290.md  [opal]
DONE phase_1/phase_1_1291.md  [ascending]
DONE phase_1/phase_1_1292.md  [biting]
DONE phase_1/phase_1_1293.md  [blinking]
DONE phase_1/phase_1_1294.md  [bouncing]
DONE phase_1/phase_1_1295.md  [breathing]
DONE phase_1/phase_1_1296.md  [chattering]
DONE phase_1/phase_1_1297.md  [chewing]
DONE phase_1/phase_1_1298.md  [clasping]
DONE phase_1/phase_1_1299.md  [clutching]
DONE phase_1/phase_1_1300.md  [colliding]
DONE phase_1/phase_1_1301.md  [coming]
DONE phase_1/phase_1_1302.md  [cramming]
DONE phase_1/phase_1_1303.md  [crouching]
DONE phase_1/phase_1_1304.md  [departing]
DONE phase_1/phase_1_1305.md  [descending]
DONE phase_1/phase_1_1306.md  [dragging]
DONE phase_1/phase_1_1307.md  [dribbling]
DONE phase_1/phase_1_1308.md  [drinking]
DONE phase_1/phase_1_1309.md  [fling]
DONE phase_1/phase_1_1310.md  [going]
DONE phase_1/phase_1_1311.md  [grasping]
DONE phase_1/phase_1_1312.md  [gripping]
DONE phase_1/phase_1_1313.md  [hovering]
DONE phase_1/phase_1_1314.md  [hurling]
DONE phase_1/phase_1_1315.md  [jerking]
DONE phase_1/phase_1_1316.md  [laboring]
DONE phase_1/phase_1_1318.md  [lobbing]
DONE phase_1/phase_1_1319.md  [looking]
DONE phase_1/phase_1_1320.md  [neighing]
DONE phase_1/phase_1_1321.md  [occurring]
DONE phase_1/phase_1_1322.md  [oscillating]
DONE phase_1/phase_1_1323.md  [overflowing]
DONE phase_1/phase_1_1324.md  [overlaping]
DONE phase_1/phase_1_1325.md  [peeing]
DONE phase_1/phase_1_1326.md  [peeping]
DONE phase_1/phase_1_1327.md  [pitter-pattering]
DONE phase_1/phase_1_1328.md  [pooping]
DONE phase_1/phase_1_1329.md  [propelling]
DONE phase_1/phase_1_1330.md  [putting]
DONE phase_1/phase_1_1331.md  [scurrying]
DONE phase_1/phase_1_1332.md  [shoving]
DONE phase_1/phase_1_1333.md  [swiping]
DONE phase_1/phase_1_1334.md  [thrusting]
DONE phase_1/phase_1_1335.md  [toiling]
DONE phase_1/phase_1_1336.md  [trailing]
DONE phase_1/phase_1_1337.md  [trampling]
DONE phase_1/phase_1_1338.md  [yanking]
DONE phase_1/phase_1_1339.md  [zig-zagging]
DONE phase_1/phase_1_1340.md  [flinging]
DONE phase_1/phase_1_1341.md  [living]
DONE phase_1/phase_1_1342.md  [overlapping]
DONE phase_1/phase_1_1343.md  [allergic]
DONE phase_1/phase_1_1344.md  [big]
DONE phase_1/phase_1_1345.md  [bigger]
DONE phase_1/phase_1_1346.md  [black]
DONE phase_1/phase_1_1347.md  [blind]
DONE phase_1/phase_1_1348.md  [blue]
DONE phase_1/phase_1_1349.md  [bright]
DONE phase_1/phase_1_1350.md  [brown]
DONE phase_1/phase_1_1351.md  [bumpy]
DONE phase_1/phase_1_1352.md  [central]
DONE phase_1/phase_1_1353.md  [chilly]
DONE phase_1/phase_1_1354.md  [circular]
DONE phase_1/phase_1_1355.md  [close]
DONE phase_1/phase_1_1356.md  [cloudy]
DONE phase_1/phase_1_1357.md  [coarse]
DONE phase_1/phase_1_1358.md  [cold]
DONE phase_1/phase_1_1359.md  [colored]
DONE phase_1/phase_1_1360.md  [colorful]
DONE phase_1/phase_1_1361.md  [cool]
DONE phase_1/phase_1_1362.md  [cream-colored]
DONE phase_1/phase_1_1363.md  [creamy]
DONE phase_1/phase_1_1364.md  [crinkly]
DONE phase_1/phase_1_1365.md  [crisp]
DONE phase_1/phase_1_1366.md  [crispy]
DONE phase_1/phase_1_1367.md  [crooked]
DONE phase_1/phase_1_1368.md  [crunchy]
DONE phase_1/phase_1_1369.md  [curly]
DONE phase_1/phase_1_1370.md  [delicious]
DONE phase_1/phase_1_1371.md  [dim]
DONE phase_1/phase_1_1372.md  [dirty]
DONE phase_1/phase_1_1373.md  [dotted]
DONE phase_1/phase_1_1374.md  [dusty]
DONE phase_1/phase_1_1375.md  [earthy]
DONE phase_1/phase_1_1376.md  [furry]
DONE phase_1/phase_1_1377.md  [gaseous]
DONE phase_1/phase_1_1378.md  [golden]
DONE phase_1/phase_1_1379.md  [golden-yellow]
DONE phase_1/phase_1_1380.md  [grainy]
DONE phase_1/phase_1_1381.md  [grassy]
DONE phase_1/phase_1_1382.md  [gray]
DONE phase_1/phase_1_1383.md  [greasy]
DONE phase_1/phase_1_1384.md  [grey]
DONE phase_1/phase_1_1385.md  [gritty]
DONE phase_1/phase_1_1386.md  [harsh]
DONE phase_1/phase_1_1387.md  [hearable]
DONE phase_1/phase_1_1388.md  [heavy]
DONE phase_1/phase_1_1389.md  [high]
DONE phase_1/phase_1_1390.md  [hot]
DONE phase_1/phase_1_1391.md  [huge]
DONE phase_1/phase_1_1392.md  [icy]
DONE phase_1/phase_1_1393.md  [interior]
DONE phase_1/phase_1_1394.md  [itchy]
DONE phase_1/phase_1_1395.md  [juicy]
DONE phase_1/phase_1_1396.md  [large]
DONE phase_1/phase_1_1397.md  [larger]
DONE phase_1/phase_1_1398.md  [leafy]
DONE phase_1/phase_1_1399.md  [level]
DONE phase_1/phase_1_1400.md  [long]
DONE phase_1/phase_1_1401.md  [longer]
DONE phase_1/phase_1_1402.md  [loose]
DONE phase_1/phase_1_1403.md  [loud]
DONE phase_1/phase_1_1404.md  [massive]
DONE phase_1/phase_1_1405.md  [medium-sized]
DONE phase_1/phase_1_1406.md  [messy]
DONE phase_1/phase_1_1407.md  [mild]
DONE phase_1/phase_1_1408.md  [minty]
DONE phase_1/phase_1_1409.md  [moist]
DONE phase_1/phase_1_1410.md  [muddy]
DONE phase_1/phase_1_1411.md  [nearby]
DONE phase_1/phase_1_1412.md  [nearest]
DONE phase_1/phase_1_1413.md  [new]
