training_data/phases/phase_1/phase_1_1035.md | category mistake | "Stiff" is an adjective but taught as a concrete noun with "This is stiff" / "Stiff is a hard state"
training_data/phases/phase_1/phase_1_1043.md | category mistake | "Straight" is an adjective but taught as a concrete noun with "This is straight"
training_data/phases/phase_1/phase_1_1051.md | category mistake | "Strong" is an adjective but taught as if it were a thing using "What does strong look like?"
training_data/phases/phase_1/phase_1_1054.md | category mistake | "Sturdy" is an adjective but taught as if it were a thing using "What does sturdy mean?"
training_data/phases/phase_1/phase_1_1058.md | category mistake | "Sudden" is an adjective but taught as if it were a thing using "What does sudden mean?"
training_data/phases/phase_1/phase_1_1082.md | category mistake | "Tall" is an adjective but taught as a concrete entity with "This is tall"
training_data/phases/phase_1/phase_1_1102.md | category mistake | "Thick" is an adjective but taught as a concrete entity with "This is thick"
training_data/phases/phase_1/phase_1_1107.md | category mistake | "Thorny" is an adjective but taught as if it were a thing using "What does thorny mean?"
training_data/phases/phase_1/phase_1_1120.md | category mistake | "Tiny" is an adjective but taught as if it were a thing using "What does tiny mean?"
training_data/phases/phase_1/phase_1_143.md | category mistake | "Clear" is an adjective/property, treated as a concrete thing ("This is clear. Clear is transparent."). "Clear" is not a noun and does not have physical locations or purposes in the concrete sense.
training_data/phases/phase_1/phase_1_146.md | category mistake | "Sharp" is an adjective treated as a concrete thing ("This is sharp. Sharp is pointed."). Sharpness is a property of edges, not a concrete object.
training_data/phases/phase_1/phase_1_1217.md | category mistake | "Wet" is an adjective/state treated as a concrete thing ("This is wet. Wet is a state of a thing."). The file itself acknowledges this is a state, not a thing, contradicting the object-teaching frame.
training_data/phases/phase_1/phase_1_1223.md | category mistake | "White" is a color/adjective treated as a concrete thing ("This is white. White is a bright color."). Colors are properties, not objects with locations and purposes.
training_data/phases/phase_1/phase_1_469.md | category mistake | "flat" is an adjective treated as a noun throughout ("A flat is level. A flat is smooth." "What does a flat do?")
training_data/phases/phase_1/phase_1_493.md | category mistake | "free" is an adjective treated as a noun ("Free is open. Free is wide. Free is unbounded." "What does free do? Free lets things move.")
training_data/phases/phase_1/phase_1_499.md | category mistake | "full" is an adjective treated as a noun ("Full is a state with no room." "What does full do? Full fills a space.")
training_data/phases/phase_1/phase_1_535.md | category mistake | "green" is a color adjective treated as a noun/agent ("Green covers the hills. Green fills the forest." "What is green for? Green is for the frog.")
training_data/phases/phase_1/phase_1_928.md | category mistake | "Shallow" is an adjective, not a noun entity; "Shallow has a flat bottom" is semantically nonsensical
training_data/phases/phase_1/phase_1_931.md | category mistake | "Sharp" is an adjective taught as a noun entity ("Sharp has a point", "Sharp is on a knife")
training_data/phases/phase_1/phase_1_946.md | category mistake | "Short" is an adjective taught as a noun entity ("Short is small in length", "Short is a label for size")
training_data/phases/phase_1/phase_1_878.md | category mistake | "Rough" is an adjective taught as a noun entity ("Rough has bumps on the surface", "Rough is on a tree trunk")
training_data/phases/phase_1/phase_1_879.md | category mistake | "Round" is an adjective taught as a noun entity ("Round has a circle shape", "Round is on a wheel")
training_data/phases/phase_2/phase_2_002.md | category mistake | "prior" is an adjective, not a noun — taught as a noun with appearance, location, behavior, and purpose
training_data/phases/phase_2/phase_2_99.md | category mistake | "familiar" is primarily an adjective, not a noun — taught with noun-frame questions about appearance, location, and purpose
training_data/phases/phase_3/phase_3_205.md | category mistake | adjective "fast" taught using noun Format B frame
training_data/phases/phase_3/phase_3_205.md | category mistake | "fast" taught as a noun — "fast" is an adjective, not a noun
training_data/phases/phase_3/phase_3_287.md | category mistake | "Clean" taught as a noun but is primarily an adjective/verb with no matching noun sense
training_data/phases/phase_3/phase_3_288.md | category mistake | "Clear" taught as a noun but is primarily an adjective/verb with no matching noun sense
training_data/phases/phase_3/phase_3_314.md | category mistake | "Damp" taught as a noun but is primarily an adjective with no matching noun sense
training_data/phases/phase_3/phase_3_335.md | category mistake | "Dry" taught as a noun but is primarily an adjective with no matching noun sense
training_data/phases/phase_3/phase_3_339.md | category mistake | "Empty" taught as a noun but is primarily an adjective with no matching noun sense
training_data/phases/phase_4/phase_4_087.md | category mistake | "dead" treated as a noun entity rather than an adjective or state — "Dead is a body" (line 3), "Dead returns matter" (line 21)
training_data/phases/phase_5/phase_5_1981.md | category mistake | "sick" treated as agent ("Sick stops an animal from play", "Sick keeps an animal") — sick is an adjective/state
training_data/phases/phase_6/phase_6_488.md | category mistake | adjective "partial" taught with noun ontology ("This is partial")
training_data/phases/phase_6/phase_6_536.md | category mistake | adjective "untouchable" treated as noun entity ("This is untouchable")
training_data/phases/phase_6/phase_6_546.md | category mistake | adjective "particular" treated as noun entity ("This is particular")
training_data/phases/phase_6/phase_6_558.md | category mistake | adjective "over-certain" treated as noun entity ("This is over-certain")
training_data/phases/phase_6/phase_6_615.md | category mistake | adjective "perspective-free" taught as countable noun ("This is a perspective-free")
training_data/phases/phase_6/phase_6_632.md | category mistake | adjective "entire" taught as noun-entity with location and purpose
training_data/phases/phase_6/phase_6_651.md | category mistake | adjective/present participle "satisfying" taught as noun ("This is satisfying")
training_data/phases/phase_6/phase_6_674.md | category mistake | adjective "permanent" treated as noun ("This is permanent")
training_data/phases/phase_6/phase_6_693.md | category mistake | adjective "automatic" taught with noun frame ("What is automatic?")
training_data/phases/phase_6/phase_6_696.md | category mistake | adjective "constant" taught with noun frame ("What is constant?")
