enjoy | people_and_relationships | S
enjoyment | people_and_relationships | S
entry | home_and_daily_life | S
equipment | tools_and_making | S
escalation | miscellaneous_concepts | S
essence | miscellaneous_concepts | S
estimate | school_and_learning | S
excited | people_and_relationships | S
exclusion | people_and_relationships | S
exhaustion | body_and_health | S
expand | miscellaneous_concepts | S
expect | people_and_relationships | S
expectation | people_and_relationships | S
exposed | miscellaneous_concepts | S
extension | tools_and_making | S
fable | school_and_learning | A
fail | school_and_learning | S
false | school_and_learning | S
fastener | tools_and_making | A
favorite | people_and_relationships | S
fewer | school_and_learning | S
fiber | miscellaneous_concepts | S
figure | people_and_relationships | A
fireplace | home_and_daily_life | A
flake | weather_and_seasons | A
flock | animals_and_nature | A
focus | school_and_learning | S
format | miscellaneous_concepts | S
fort | play_and_games | A
frequency | school_and_learning | S
fridge | home_and_daily_life | A
friendly | people_and_relationships | S
frustrated | people_and_relationships | S
fulcrum | tools_and_making | S
fungus | animals_and_nature | A
garage | home_and_daily_life | A
gentle | people_and_relationships | S
giver | people_and_relationships | A
glad | people_and_relationships | S
glimpse | people_and_relationships | S
goalie | play_and_games | A
grace | people_and_relationships | S
gradation | miscellaneous_concepts | S
gram | school_and_learning | S
grammar | school_and_learning | S
grandpa | people_and_relationships | A
grateful | people_and_relationships | S
grief | people_and_relationships | S
grip | tools_and_making | S
groove | tools_and_making | S
grown-up | people_and_relationships | A
growth | animals_and_nature | S
grudge | people_and_relationships | S
guidance | people_and_relationships | S
handful | miscellaneous_concepts | S
handlebar | vehicles_and_travel | A
hue | miscellaneous_concepts | S
hull | vehicles_and_travel | S
hurtful | body_and_health | S
husk | animals_and_nature | S
idea | school_and_learning | S
image | school_and_learning | A
impact | miscellaneous_concepts | S
implication | miscellaneous_concepts | S
improbability | miscellaneous_concepts | S
improvement | miscellaneous_concepts | S
inclusion | people_and_relationships | S
independence | people_and_relationships | A
infinity | school_and_learning | S
influence | people_and_relationships | S
information | school_and_learning | S
inheritance | people_and_relationships | S
injury | body_and_health | A
input | school_and_learning | S
insight | school_and_learning | S
inspection | school_and_learning | S
inspiration | people_and_relationships | S
instance | miscellaneous_concepts | S
instruction | school_and_learning | S
intensity | miscellaneous_concepts | S
intent | people_and_relationships | S
internet | school_and_learning | A
interruption | people_and_relationships | S
introduce | people_and_relationships | S
introduction | people_and_relationships | S
inverse | school_and_learning | S
invitation | people_and_relationships | S
iris | animals_and_nature | A
issue | miscellaneous_concepts | S
item | home_and_daily_life | S
