training_data/phases/phase_1/phase_1_062.md | duplicate/redundant statement | "A boat is a vehicle that moves on water." repeated verbatim in both appearance and location blocks
training_data/phases/phase_1/phase_1_1003.md | duplicate/redundant statement | First block has "A spider is a small bug with eight legs." immediately followed by "A spider is a small bug. A spider has eight legs." — redundant restatement
training_data/phases/phase_1/phase_1_1103.md | duplicate/redundant statement | Summary lines repeat the subject unnecessarily (e.g. "A thief is a person and a thief looks normal" instead of "A thief is a person who looks normal")
training_data/phases/phase_1/phase_1_126.md | duplicate/redundant statement | Corn has a second file (phase_1_360.md) with a different set of answers for the same concept, causing curriculum redundancy
training_data/phases/phase_1/phase_1_128.md | duplicate/redundant statement | Wood has a second file (phase_1_1238.md) for the same concept with different answer content
training_data/phases/phase_1/phase_1_165.md | duplicate/redundant statement | Bat appears in two files (phase_1_165.md and phase_1_207.md) with different answer content for the same concept.
training_data/phases/phase_1/phase_1_169.md | duplicate/redundant statement | Spider appears in two files (phase_1_123.md and phase_1_169.md) with different answer content for the same concept.
training_data/phases/phase_1/phase_1_182.md | duplicate/redundant statement | Ant appears in two files (phase_1_125.md and phase_1_182.md) with different answers for the same concept.
training_data/phases/phase_1/phase_1_219.md | duplicate/redundant statement | Bee appears in two files (phase_1_124.md and phase_1_219.md) with different answers for the same concept.
training_data/phases/phase_1/phase_1_261.md | duplicate/redundant statement | Broth has two nearly identical files (phase_1_261.md and phase_1_262.md) — exact same content through most sections.
training_data/phases/phase_1/phase_1_262.md | duplicate/redundant statement | Identical copy of phase_1_261.md (broth). Nearly word-for-word duplicate.
training_data/phases/phase_1/phase_1_637.md | duplicate/redundant statement | First block has two summary lines: "A lizard is green and brown on the ground" / "A lizard is small and green on the ground"
training_data/phases/phase_1/phase_1_641.md | duplicate/redundant statement | First block has two summary lines ("A lollipop is a round candy on a stick" / "A lollipop is a round bright candy on a stick"); last block also has two
training_data/phases/phase_1/phase_1_643.md | duplicate/redundant statement | First block has 6 description lines plus two summary lines; last block also has two summary lines
training_data/phases/phase_1/phase_1_650.md | duplicate/redundant statement | Last block: "A mango is a sweet fruit for a snack and a meal" / "A mango is for a snack and for eating"
training_data/phases/phase_1/phase_1_651.md | duplicate/redundant statement | First block: "A marble is a small round glass ball" / "A marble is a small smooth round ball"
training_data/phases/phase_1/phase_1_653.md | duplicate/redundant statement | Location block: "A mask is on a face and in a store" / "A mask is on a face and in a drawer"
training_data/phases/phase_1/phase_1_660.md | duplicate/redundant statement | Appearance block has two summary lines; behavior block also has two summary lines
training_data/phases/phase_1/phase_1_661.md | duplicate/redundant statement | Behavior block has two summary lines: "Mice run fast and hide in holes" / "Mice run fast and eat seeds"
training_data/phases/phase_1/phase_1_663.md | duplicate/redundant statement | First block has two summary lines: "A microscope is a tube with a lens on a table" / "A microscope is a tube with a lens and a knob"
training_data/phases/phase_1/phase_1_664.md | duplicate/redundant statement | Appearance block has two summary lines; last block also has two summary lines
training_data/phases/phase_1/phase_1_666.md | duplicate/redundant statement | First block: "A mint is a green plant with small leaves" / "A mint is a green plant that grows low to the ground"
training_data/phases/phase_1/phase_1_667.md | duplicate/redundant statement | Last block: "A mirror is a glass for looking at the face and clothes" / "A mirror is a glass for checking the face hair and clothes"
training_data/phases/phase_1/phase_1_668.md | duplicate/redundant statement | Last block: "Mist is a cloud that gives water to plants and cools the air" / "Mist is a cloud and a plant waterer"
training_data/phases/phase_1/phase_1_670.md | duplicate/redundant statement | First block: "A mitten is a warm cloth glove with a thumb and one pocket" / "A mitten is a wool or cloth glove with a thumb and one pocket"
training_data/phases/phase_1/phase_1_671.md | duplicate/redundant statement | Last block: "Mold breaks down old things and makes some cheese" / "Mold is for making some cheese" — redundant statements within same block
training_data/phases/phase_1/phase_1_888.md | duplicate/redundant statement | Last line of location section ("A saddle is on a horse in a field.") appears twice verbatim
training_data/phases/phase_1/phase_1_906.md | duplicate/redundant statement | "A scar is a sign" appears three times across different sections
training_data/phases/phase_1/phase_1_999.md | duplicate/redundant statement | "A spark is the start of a fire" appears twice on the last two lines of the file
training_data/phases/phase_2/phase_2_169.md | duplicate/redundant statement | "park" is already taught in phase_2_69.md — same word, duplicate entry within the same phase
training_data/phases/phase_2/phase_2_256.md | duplicate/redundant statement | "highway" is already taught in phase_2_255.md — same word, duplicate entry within the same phase
training_data/phases/phase_2/phase_2_275.md | duplicate/redundant statement | "milkshake" is already taught in phase_2_29.md — same word, duplicate entry within the same phase
training_data/phases/phase_3/phase_3_506.md | duplicate/redundant statement | "Stomp crushes cans" appears as both a body line and the summary line verbatim
training_data/phases/adj_rewrites.md | duplicate entry | "parental" appears twice (lines 111 and 176) with near-identical content
training_data/phases/adj_rewrites.md | duplicate entry | "unexpected" appears twice (lines 376 and 476) with near-identical content
training_data/phases/adj_rewrites.md | duplicate entry | "previous" appears twice (lines 216 and 546) with near-identical content
training_data/phases/adj_rewrites.md | duplicate entry | "reliable" appears twice (lines 306 and 566) with near-identical content
training_data/phases/adj_rewrites.md | duplicate entry | "obvious" appears twice (lines 471 and 606) with near-identical content
training_data/phases/adj_rewrites.md | duplicate entry | "strong" appears twice (lines 1 and 696) with near-identical content
training_data/phases/phase_5/phase_5_1993.md | duplicate/redundant statement | Identical to phase_5_1994.md (both ask "What does a trick do?" with identical content)
training_data/phases/phase_5/phase_5_1994.md | duplicate/redundant statement | Identical to phase_5_1993.md (both ask "What does a trick do?" with identical content)
training_data/phases/phase_6/phase_6_1046.md | duplicate/redundant statement | "threeness" is a near-duplicate of "three-ness" from phase_6_1037.md teaching the same concept
training_data/phases/phase_6/phase_6_42.md | duplicate/redundant statement | "energy can be in food" and "energy can help a body run and jump" repeated verbatim in multiple blocks
training_data/phases/phase_6/phase_6_463.md | duplicate topic | "original" taught here in addition to phase_6_429.md in same batch, creating redundant word across files
training_data/phases/phase_6/phase_6_488.md | duplicate/redundant statement | "Partial suggests a partial truth" uses target word in own definition
